arm_id,year,state_index,preceding_state_index,pathwise_marginal_delta_d_phi,cumulative_delta_from_baseline_d_phi,pathwise_marginal_delta_auroc,cumulative_delta_from_baseline_auroc,pathwise_marginal_delta_auprc,cumulative_delta_from_baseline_auprc,pathwise_marginal_delta_ks_statistic,cumulative_delta_from_baseline_ks_statistic,pathwise_marginal_delta_selection_rate,cumulative_delta_from_baseline_selection_rate,pathwise_marginal_delta_count_predicted_positive,cumulative_delta_from_baseline_count_predicted_positive
D6_ARM_002,2024,12,11,7.539119045797205e-05,-0.003173447838017728,-0.0011967146471431045,-0.0186013326538903,-0.0008446639508695453,-0.034736942029786694,-0.004229268898861771,-0.01993287243825692,-0.00015453562046051621,-0.002596198423736671,-5.0,-84.0
D6_ARM_003,2022,1,0,-0.0007969017463460796,-0.0007969017463460796,-0.0004037146766158184,-0.0004037146766158184,-4.285776478737957e-05,-4.285776478737957e-05,-0.00037731515550304406,-0.00037731515550304406,-3.642854540818197e-05,-3.642854540818197e-05,-1.0,-1.0
D6_ARM_003,2022,2,1,-0.0032103159590147123,-0.004007217705360792,-0.00018638061905562608,-0.0005900952956714445,-0.0006113000462274198,-0.0006541578110147994,-0.0034677090957570544,-0.0038450242512600985,-0.00010928563622454547,-0.00014571418163272743,-3.0,-4.0
D6_ARM_003,2022,3,2,-0.001068130011627537,-0.005075347716988329,-0.003012097360553745,-0.0036021926562251894,-0.004209640970905398,-0.004863798781920198,-0.002957978342272849,-0.0068030025935329475,-0.00014571418163272743,-0.00029142836326545487,-4.0,-8.0
D6_ARM_003,2022,4,3,0.0008585710518904475,-0.0042167766650978815,-7.077271618305403e-05,-0.0036729653724082434,0.00024307562634889868,-0.004620723155571299,0.00310376969761772,-0.0036992328959152276,-3.642854540818197e-05,-0.00032785690867363684,-1.0,-9.0
D6_ARM_003,2022,5,4,-0.0011788574615508394,-0.005395634126648721,-0.004113947372994531,-0.007786912745402774,-0.0029811132036083043,-0.007601836359179603,-0.0006442583131542334,-0.004343491209069461,7.285709081636393e-05,-0.0002549998178572729,2.0,-7.0
D6_ARM_003,2022,6,5,-1.2278606418963771e-05,-0.005407912733067685,-0.000695033392094313,-0.008481946137497087,-0.001313059722953147,-0.00891489608213275,-0.0032212915657710006,-0.007564782774840462,-0.0004371425448981823,-0.0006921423627554552,-12.0,-19.0
D6_ARM_003,2022,7,6,-0.0005985880981762082,-0.006006500831243893,-0.0009473688147296766,-0.009429314952226764,-0.00040406446762447645,-0.009318960549757227,-0.0008510325622692605,-0.008415815337109722,-0.00014571418163272743,-0.0008378565443881826,-4.0,-23.0
D6_ARM_003,2023,1,0,-3.995085095880556e-05,-3.995085095880556e-05,-5.860101928667483e-05,-5.860101928667483e-05,5.634481917149436e-07,5.634481917149436e-07,0.0015279434747632048,0.0015279434747632048,-3.4150672768253586e-05,-3.4150672768253586e-05,-1.0,-1.0
D6_ARM_003,2023,2,1,-0.0037404976656264547,-0.0037804485165852603,-0.0004484350697203654,-0.0005070360890070402,-0.0005571133094889047,-0.0005565498612971898,-0.0007268798482757965,0.0008010636264874083,-3.4150672768253586e-05,-6.830134553650717e-05,-1.0,-2.0
D6_ARM_003,2023,3,2,-0.00033042623641766234,-0.004110874753002923,-0.002651965933551881,-0.003159002022558921,-0.003145863750875416,-0.003702413612172606,-0.004190398896096903,-0.0033893352696094947,-3.4150672768253586e-05,-0.00010245201830476076,-1.0,-3.0
D6_ARM_003,2023,4,3,0.00022866282898168118,-0.0038822119240212415,-0.00020661829498058726,-0.0033656203175395083,-0.0002592385044667411,-0.003961652116639347,0.0007677964242623903,-0.0026215388453471045,-0.0001366026910730139,-0.00023905470937777467,-4.0,-7.0
